Attribute/PoisonNoColon=<c val="{#Colors/poison}">剧毒</c>

Flower/Attribute/Health=<c val="{#Colors/health}">花朵生命值：</c>{0:tooltip}
Flower/Attribute/HealthNoColon=<c val="{#Colors/health}">花朵生命值</c>
Flower/Attribute/BodyDamage=<c val="{#Colors/damage}">身体伤害：</c>{0:tooltip}
Flower/Attribute/BodyDamageNoColon=<c val="{#Colors/damage}">身体伤害</c>
Flower/Attribute/BodyPoison=<c val="{#Colors/poison}">身体剧毒：</c>{0:tooltip}（{1:tooltip}/秒）
Flower/Attribute/LuckNoColon=<c val="{#Colors/generic}">运气</c>
Flower/Attribute/RotationSpeedNoColon=<c val="{#Colors/generic}">旋转速度</c>
Flower/Attribute/AttackRangeNoColon=<c val="{#Colors/generic}">攻击距离</c>
Flower/Attribute/HealingNoColon=<c val="{#Colors/heal}">治疗</c>

Mob/Attribute/Health=<c val="{#Colors/health}">生命值：</c>{0:tooltip}
Mob/Attribute/HealthRange=<c val="{#Colors/health}">生命值：</c>{0:tooltip}～{1:tooltip}
Mob/Attribute/HealthNoColon=<c val="{#Colors/health}">生命值</c>
Mob/Attribute/Damage=<c val="{#Colors/damage}">伤害：</c>{0:tooltip}
Mob/Attribute/Damage/Lightning=<c val="{#Colors/damage}">伤害：</c>{0:tooltip}<c val="{#Colors/lightning}">（闪电）</c>
Mob/Attribute/Armor=<c val="{#Colors/armor}">护甲：</c>{0:tooltip}
Mob/Attribute/Poison=<c val="{#Colors/poison}">剧毒：</c>{0:tooltip}（{1:tooltip}/秒）
Mob/Attribute/PoisonPerSecond=<c val="{#Colors/poison}">剧毒：</c>{0:tooltip}/秒
Mob/Attribute/PsyonicConnection=<c val="{#Colors/psyonic}">灵能链接</c>
Mob/Attribute/PollenHealth=<c val="{#Colors/health}">花粉耐久：</c>{0:tooltip}
Mob/Attribute/PollenDamage=<c val="{#Colors/damage}">花粉伤害：</c>{0:tooltip}
Mob/Attribute/MissileHealth=<c val="{#Colors/health}">导弹耐久：</c>{0:tooltip}
Mob/Attribute/MissileDamage=<c val="{#Colors/damage}">导弹伤害：</c>{0:tooltip}
Mob/Attribute/MissilePoison=<c val="{#Colors/poison}">导弹剧毒：</c>{0:tooltip}（{1:tooltip}/秒）
Mob/Attribute/PearlHealth=<c val="{#Colors/health}">珍珠耐久：</c>{0:tooltip}
Mob/Attribute/PearlDamage=<c val="{#Colors/damage}">珍珠伤害：</c>{0:tooltip}
Mob/Attribute/DandelionHealth=<c val="{#Colors/health}">花瓣耐久：</c>{0:tooltip}
Mob/Attribute/DandelionDamage=<c val="{#Colors/damage}">花瓣伤害：</c>{0:tooltip}
Mob/Attribute/MantisPeaHealth=<c val="{#Colors/health}">豌豆耐久：</c>{0:tooltip}
Mob/Attribute/MantisPeaDamage=<c val="{#Colors/damage}">豌豆伤害：</c>{0:tooltip}
Mob/Attribute/Duration=<c val="{#Colors/duration}">持续时间：</c>{0:tooltipTime}
Mob/Attribute/Swallows=<c val="{#Colors/generic}">吞咽</c>
Mob/Attribute/ArmorDebuff=<c val="{#Colors/armor}">护甲减益：</c>{0:tooltip}
Mob/Attribute/Lifesteal=<c val="{#Colors/heal}">吸血：</c>{0:tooltip}
Mob/Attribute/Lightning=<c val="{#Colors/lightning}">闪电：</c>{0:tooltip}
Mob/Attribute/Bounces=<c val="{#Colors/generic}">连锁：</c>{0:tooltip}
Mob/Attribute/Evasion=<c val="{#Colors/generic}">闪避：</c>{0:perc}%

Petal/Attribute/Health=<c val="{#Colors/health}">耐久：</c>{0:tooltip}
Petal/Attribute/Damage=<c val="{#Colors/damage}">伤害：</c>{0:tooltip}
Petal/Attribute/Damage/Lightning=<c val="{#Colors/damage}">伤害：</c>{0:tooltip}<c val="{#Colors/lightning}">（闪电）</c>
Petal/Attribute/DamageRange=<c val="{#Colors/damage}">伤害：</c>{0:tooltip}～{1:tooltip}
Petal/Attribute/Armor=<c val="{#Colors/armor}">护甲：</c>{0:tooltip}
Petal/Attribute/RotationSpeed=<c val="{#Colors/generic}">旋转速度：</c>+{0:tooltip}弧度/秒
Petal/Attribute/Heal=<c val="{#Colors/heal}">治疗：</c>{0:tooltip}
Petal/Attribute/HealPerSecond=<c val="{#Colors/heal}">治疗：</c>{0:tooltip}/秒
Petal/Attribute/HealPerc=<c val="{#Colors/heal}">治疗：</c>{0:perc}%
Petal/Attribute/Poison=<c val="{#Colors/poison}">剧毒：</c>{0:tooltip}（{1:tooltip}/秒）
Petal/Attribute/PoisonPerSecond=<c val="{#Colors/poison}">剧毒：</c>{0:tooltip}/秒
Petal/Attribute/PoisonResistance=<c val="{#Colors/poison}">剧毒抗性：</c>{0:tooltip}/秒
Petal/Attribute/FlowerHealth=<c val="{#Colors/health}">花朵生命值：</c>{0:tooltip}
Petal/Attribute/FlowerHealthPerc=<c val="{#Colors/health}">花朵生命值：</c>+{0:perc}%
Petal/Attribute/Duration=<c val="{#Colors/duration}">持续时间：</c>{0:tooltipTime}
Petal/Attribute/Contents={#Petal/Attribute/Contents{0:1orN}}
Petal/Attribute/Contents1=<c val="{#Colors/generic}">内含：</c>{#Mobs/{1:base}/Name}（{#Rarities/{1:rarity}/NameColored}）
Petal/Attribute/ContentsN=<c val="{#Colors/generic}">内含：</c>{0}个{#Mobs/{1:base}/Name}（{#Rarities/{1:rarity}/NameColored}）
Petal/Attribute/ExtraVision=<c val="{#Colors/generic}">额外视野：</c>{0:perc}%
Petal/Attribute/Radius=<c val="{#Colors/generic}">半径：</c>{0:tooltip}
Petal/Attribute/MaxMobRarity=<c val="{#Colors/generic}">最高生物稀有度：</c>{#Rarities/{0}/NameColored}
Petal/Attribute/DamageReflection=<c val="{#Colors/reflection}">伤害反弹：</c>{0:perc}%（对{#Rarities/{2}/NameColored}生物），{1:perc}%（对花朵）
Petal/Attribute/PickUpRange=<c val="{#Colors/generic}">拾取范围：</c>+{0:tooltip}
Petal/Attribute/Lightning=<c val="{#Colors/lightning}">闪电：</c>{0:tooltip}
Petal/Attribute/Bounces=<c val="{#Colors/generic}">连锁：</c>{0:tooltip}
Petal/Attribute/Knockback=<c val="{#Colors/generic}">击退：</c>{0:tooltip}
Petal/Attribute/ExtraDamage=<c val="{#Colors/damage}">额外伤害：</c>{0:tooltip}
Petal/Attribute/Shield=<c val="{#Colors/generic}">护盾：</c>{0:tooltip}
Petal/Attribute/BodyDamage=<c val="{#Colors/damage}">身体伤害：</c>{0:tooltip}
Petal/Attribute/Period=<c val="{#Colors/generic}">周期：</c>{0:tooltipTime}
Petal/Attribute/FlowerRadius=<c val="{#Colors/generic}">花朵半径：</c>+{0:tooltip}
Petal/Attribute/DamageHealed=<c val="{#Colors/heal}">伤害治疗：</c>{0:perc}%
